form,sid,alt,de_text
gedicht,920311,3531174;1008096;2818632,Die Studenten lernten dieses Gedicht auswendig.
merken,6953076,8231682;8231772;1358892,Das Datum werde ich mir merken.
streng,2977723,3349640;5289139;10695248,Tom ernährt sich streng vegetarisch.
kanada,3643343,11261500;13044576;401683,Kanada hat dreizehn Provinzen und Territorien.
jacke,4261639,755458;11934565;11934564,Du trägst eine bezaubernde Jacke.
dadurch,1791753,1832954;8292770;13380115,Ich fühle mich dadurch unwohl.
karten,12106948,2136697;6708246;741986,Kauf hier Karten im Vorverkauf.
mauer,7990460,902112;934397;2771313,Die Berliner Mauer teilte Berlin.
trauen,1550146,7119167;9681717;9681718,Computerübersetzungen kann man nicht trauen.
längst,5488143,2739134;2951211;1327728,Diskettenlaufwerke wurden schon längst durch CD-Laufwerke verdrängt.
angeln,396935,4988525;8072081;9662996,Angeln ist nicht meine Stärke.
saßen,8825783,10760739;12397791;12397792,Wir saßen mitten im Nirgendwo fest.
fürchtet,1447930,2659378;5203589;1500523,Merry fürchtet sich vor Hunden.
unschuldig,2393510,2810925;1921656;2444536,Der des Verbrechens Verdächtigte war unschuldig.
lautet,3555455,8802213;979477;2761356,Der Ablativ Plural von „rosa“ lautet „rosis“.
bißchen,12481652,12481654;12482963;12627261,Du wirkst ein bißchen gestreßt.
prinzessin,5887014,7206076;13622640;1302369,Prinzessin Dianas tragischer Tod erschütterte die Welt.
bad,6448837,7697355;1589515;1222838,"Maria nahm ein langes, warmes Bad."
japaner,12593034,351778;750331;1463447,Die Japaner sind gemeinhin arbeitsam.
kartoffeln,840719,2021157;8589398;3041360,Hering schmeckt lecker mit Kartoffeln.
dunkelheit,13172947,2204427;3076044;1513383,"Wenn die Sonnen sinkt, kommt die Dunkelheit."
ausdruck,10492302,2895604;11719030;941577,„Hyberbel“ ist ein hochtrabender Ausdruck für „Übertreibung“.
tatsache,1823443,2629534;2908262;424270,Diese Tatsache beweist ihre Unschuld.
europäischen,5206429,540731;1689411;2327465,Ist Armenien Mitglied der Europäischen Union?
herrscht,2701238,3239638;2315091;10986195,Diktaturen sind Einbahnstraßen. In Demokratien herrscht Gegenverkehr.
annehmen,4772410,4772411;4772412;7069074,Er wird die Geschenke annehmen.
größe,12929045,2080450;13724497;12929039,"Größenwahn ist Wahn, nicht Größe."
patienten,9498594,11069690;9498595;1881039,Alle Psychiater unterstützen ihre Patienten.
anzug,3170868,3170870;657400;915582,Dürfte ich mir deinen grauen Anzug ausleihen?
schulden,3561090,7793521;398576;8696508,Schulden und Elend sind benachbart.
toll,1430508,2757071;8791754;9689917,Ich finde deinen Schreibstil toll.
vermeiden,12821755,13889556;13889559;2697019,"Ali versucht, Flugzeugreisen zu vermeiden."
ehemann,4898699,2389766;355950;791665,Er erwies sich als idealer Ehemann.
gefiel,9455772,3499363;1254575;656341,Es gefiel Tom nicht sonderlich.
dieb,5062535,7262247;810357;368625,Unbewachtes Geld lehrt den Dieb.
steckt,3154550,612498;7696951;8813883,Jane steckt in ernsthaften Schwierigkeiten.
faul,9689759,9853416;7283218;962550,Er ist faul und unehrlich.
königin,1762741,2256636;4058044;3496426,Ich imitiere gerne Königin Elisabeth.
kampf,7296832,7329872;4914138;3982673,Der Soldat lehnte den Kampf ab.
not,5683436,2123764;3080172;3207214,Hochmut kondensiert in der Not.
vermisst,7884602,8431887;926487;9271341,Er vermisst seinen rechten Schuh.
ausgehen,12497140,1982150;2989725;3523174,Laßt uns am Wochenende ausgehen!
mitte,10349537,1524598;3109359;898612,Den Teig zur Mitte hin umschlagen.
unterrichtet,11067441,396648;13957783;11093769,Maria unterrichtet Ausländer in Portugiesisch.
vorbereitet,5622154,7953059;2761452;522559,Wir waren nicht ordentlich vorbereitet.
aufmerksam,8688892,11870028;3320593;8317251,Ich beobachte mein Gewicht sehr aufmerksam.
unglaublich,1923847,369384;3750181;8833470,Diese Skulpturen sind unglaublich wertvoll.
kopfschmerzen,13808393,13808394;3836356;1968588,Eure Singerei bereitet mir Kopfschmerzen.
vertrag,1783268,1783272;1475914;2305568,Der Vertrag verbot keine unterirdischen Atomversuche.
bezeichnet,8223347,6140857;504680;10470884,Methanol wird auch als Holzgeist bezeichnet.
beweisen,4867054,7334227;973855;11450878,Er wollte nur Freundlichkeit beweisen.
blätter,1641090,4867044;1187030;518634,Der kalte Nordwind bräunte die Blätter.
sauer,1831873,4730626;6038722;1500796,Herr Wilson ist sauer auf Dennis.
durst,7790600,9074949;10734385;10734386,Die Milch stillt meinen Durst.
autor,2984897,7528203;13908024;3388584,Der Autor kritisiert das Schulsystem.
gezwungen,677018,775345;881246;2881311,"Sie wurde gezwungen, ein Geständnis abzulegen."
fähigkeit,8304878,12795014;3392432;10484541,"Unterschätze nicht Toms Fähigkeit, damit umzugehen."
gegenwart,1499497,10455246;1706839;6383431,Das Jerewan der Gegenwart ist altertümlich und modern zugleich.
feiern,1306839,6689008;13832679;13832682,Wir feiern das Sternenfest im Juli.
unglücklich,3074157,1627342;2177519;11808577,"Tom merkte, dass Maria unglücklich war."
ferien,396665,3363707;10039722;9013137,Die Ferien sind im Nu vorbeigegangen.
mitten,12638290,4952682;12191850;1516155,Mitten im Spinnennetz saß eine Spinne.
bleistift,3894002,925050;1652213;3534471,Den Vertrag nicht mit Bleistift unterschreiben!
strom,6819131,6819135;610633;3232137,Das Bügeleisen verbraucht viel Strom.
schachtel,2357674,13274134;8569650;4873569,Sie schenkte ihm eine Schachtel Havanna-Zigarren.
betrachtet,4445469,9960356;7029048;8653949,Man betrachtet Shakespeare als besten Dramatiker.
kekse,2794058,2794091;4900452;4332376,Ich habe hasenförmige Kekse gebacken.
worauf,2183090,2735093;974910;1239985,Worauf gründet sich dein Urteil?
fünfzig,934286,13435517;3603592;7106705,Dieser Klub hat fünfzig Mitglieder.
aufgeben,8642347,13453295;881246;719821,Tom wird letzten Endes aufgeben.
entlang,2446226,8180356;2446227;966094,Angehörige dieses Stammes siedelten entlang des Flusses.
sieg,12024402,11009627;13776143;1692479,Gerades Scheitern steht höher als ein krummer Sieg.
entwicklung,2720282,1767404;8295017;1360718,Diese Einflüsse förderten die Entwicklung esoterischer religiöser Lehren.
energie,12632297,1693354;2826760;3232137,Die Dampfturbinen erzeugten Energie mit Dampfantrieb.
wirtschaft,6846968,1940632;341675;341678,Wirtschaft ist nicht zwangsläufig wirtschaftlich.
stört,6011979,6134876;13810365;8702931,Die lärmende Maschine stört die Stille.
verantwortung,11812934,1223701;2376833;7635843,Ich übernehme die volle Verantwortung.
schneiden,3539533,4645415;697995;2669507,Fang an deinem Weinberg an zu schneiden.
zoo,4891318,8641395;900502;8692772,Im Zoo gibt es Giraffen.
einst,13922366,7290111;7795404;12400218,Hier wohnte einst ein böses Ungeheuer.
verärgert,11604681,2629890;2691537;4053341,"Ich weine, wenn ich verärgert bin."
üben,1986821,10157967;9940194;13815270,Tägliches Üben ist wirksam gegen Fettleibigkeit.
genießen,13684922,3338944;5956619;754330,Wir genießen sonntags ein gemächliches Frühstück.
schatz,2182933,6943474;10171033;3518570,Almosen ist des Reichen bester Schatz.
krawatte,2973081,7365327;739361;8828850,"Ich schätze, ich nehme diese Krawatte."
verschwinden,6698176,8338183;9706457;4145017,Mein Kopfweh beginnt zu verschwinden.
bart,5371807,12649622;10864926;10599238,"Wer langsam spuckt, schadet seinem Bart."
sparen,3690067,1829975;2143469;1647677,Arbeiten und Sparen macht reiche Knechte.
pullover,9836615,7551847;11149157;8143380,Mein Pullover ist mit Montageschaum beschmutzt.
schüchtern,8301216,8706404;6740967;1852367,Tom ist ungeschickt und schüchtern.
bereitet,13808392,13808393;13808394;4929041,Deine Singerei bereitet mir Kopfschmerzen.
erdbeben,536902,1519649;368714;368715,Erdbeben und Hochwasser sind Naturkatastrophen.
lohnt,8933622,3385739;12171462;3006468,Hier lohnt sich eine Neuanschaffung.
mail,601670,10101455;13873974;386992,Bitte mail mir deine Webadresse.
erlaubnis,12211249,2306936;7745138;10250060,Bitte sprecht nicht ohne Erlaubnis.
sicherlich,12280868,3003390;5867606;1652822,Ihre Forschung wird sicherlich Früchte tragen.
test,13717000,8290256;13011070;6686101,Dies ist ein bekannter psychologischer Test.
humor,592381,1904300;1613560;2451923,Trockener Humor kann nie überflüssig sein.
waffe,5368947,5561164;13495905;357473,Tom lud seine Waffe geschwind nach.
kerl,2103046,2366945;9676517;1734768,Diese Kerl ist ein absoluter Dummkopf.
überraschung,2883430,4478958;2306928;4908814,Wie schmeckt der Cocktail „Tropische Überraschung“?
geschmack,3309896,9855300;12784079;8718355,Dies zeugt von gutem Geschmack!
eingeschlafen,384899,407145;9351404;1775235,Mein linker Fuß ist eingeschlafen.
honig,10321657,1557936;2847773;1409286,"Honig, Zitronensaft, gehackte Mandeln und gehackte Äpfel hinzufügen."
kälte,3430730,4220048;825465;12217476,Die herbstliche Kälte ist hereingebrochen.
geräusch,1500153,4567012;12851684;1385090,Die Zeitbombe explodierte mit einem lauten Geräusch.
allmählich,1652822,1924535;9265620;1503144,Die Krankheitssymptome werden sicherlich allmählich abklingen.
kunden,7774837,2431521;7550173;5551218,Am Mittwoch treffe ich Kunden.
stimmte,13007466,755415;11947530;2663883,Die Senatorin stimmte ebenfalls mit Nein.
decke,10501361,12147747;12682496;3750181,Die Decke ist gelb gestrichen.
normal,7443238,945579;2339726;4468249,Tanken Sie Normal oder Super?
ansicht,1454839,2673126;6159573;6159707,Unterstütze im Unternehmen meine Ansicht!
universum,975595,3496450;439;5021681,"Teenager eiern hormongesteuert, zweifelnd und impulsiv durch das Universum."
begriff,767229,971823;1951183;2460906,"""Radioaktivität"" ist ein chemischer Begriff."
verursacht,4861371,5847479;9413524;3601583,Diese Fehlinformation hat eine Kettenreaktion verursacht.
bildung,4915405,2927317;5791437;779227,Höhere Bildung ist kein Luxusgut.
ärger,11945413,392395;446104;7765598,Ziri kann Rimas Ärger nachvollziehen.
schulter,12386146,12386147;2263481;677071,Er verletzte sich die Schulter.
doktor,396273,811587;5398694;11183320,"Herr Doktor, mein Magen schmerzt."
höflich,352588,13271910;1951117;8677725,"Er ist intelligent, und außerdem ist er höflich."
absolut,1653739,3263738;10967398;615232,Dieser Wissenschaftler schuf zweckmäßigerweise ein absolut symmetrisches Schema.
betreten,11523764,12956662;10738441;2720377,Das Betreten des Operationssaals ist untersagt.
vieles,476114,4913705;5511591;13673606,Du hältst vieles für selbstverständlich.
verschwunden,13296813,724430;3481768;697354,Boris ist vor vierzig Jahren verschwunden.
bestraft,13044694,543875;739661;8728949,Die Behörden haben einen chinesischen Cyberangreifer bestraft.
termin,3778507,3778510;7584708;8374155,Können wir den Termin vorverlegen?
keller,1825111,3317023;3317027;4861710,"Helen Keller war blind, taub und stumm."
womit,7887372,9855271;1940632;8441384,Womit seid ihr diesmal unzufrieden?
verwirrt,1907906,3386879;7636995;3388231,"Er erwachte, nackt und verwirrt."
hitze,4715108,972478;1716711;2290514,Eiscreme schmilzt schnell in der Hitze.
hervor,3691378,7328364;8193961;2166492,Er holte ein Heft hervor.
verzeihen,1372058,13878157;2353799;2926611,"Verzeihen Sie meine Kühnheit, bitte."
reichtum,1489266,622530;4861708;2353541,Erworbener Reichtum ist beständiger als ererbter.
überlegen,606013,12823346;2707641;10040261,Diese Armbanduhr ist jener überlegen.
genie,413759,1003607;1903353;1723611,Einstein war ein mathematisches Genie.
abgeschlossen,8887992,932344;9543463;8798290,Sind die Türen alle abgeschlossen?
vorne,4089778,1266247;8687756;7957399,Tom beugte sich nach vorne.
weiterhin,4181815,1809352;5381449;12779249,Die Preise steigen weiterhin rapide.
erkältung,913616,4441512;699924;1227014,Ich habe eine leichte Erkältung.
ehre,6152503,10753743;13742136;2321208,Sonias Ehre ist befleckt worden.
deutlich,825769,8793057;13347624;9733202,Elektrostal ist deutlich größer als Asbest.
achten,7006880,8641672;5064033;6643681,Warum auf den Blickkontakt achten?
partei,5088010,5089165;1654729;1454654,Die Demokratische Partei bedarf einer umfassenden Reform.
magen,349962,396273;4774939;4657143,Nahrung wird im Magen verdaut.
früchte,6874649,368607;1919629;5256352,Die Früchte reifen am Obstbaum.
stift,8881048,10450630;12710180;3006087,"Vergiss nicht, einen Stift mitzubringen!"
methode,3360978,655334;1075462;1194390,Ich bevorzuge eine systematische Methode.
aufpassen,13940332,6759831;8301961;8434021,"Man soll aufpassen, was man sich wünscht!"
publikum,1813868,1822243;13652774;4829801,Das Publikum unterbrach den Redner.
vermögen,2990441,2139642;2737250;1549114,Fred hinterließ seiner Ehefrau ein großes Vermögen.
kollegen,11265084,2452486;2753777;5812164,Mr. Turner verabschiedene sich von seinen Kollegen.
kuh,616435,3759413;2217132;7040886,Tusnelda die Kuh ist Subjekt dieses Satzes.
engel,8367856,2389753;613178;2163223,Sie glich einem traurigen Engel.
persönlich,453984,9966139;1821845;9966141,Der Gouverneur erschien persönlich im Fernsehen.
flug,13927589,792610;12031557;8297747,Der Flug wurde wegen dichten Nebels abgesagt.
rad,7069245,10768455;683158;10768463,Das Rad des Schicksals dreht sich.
studium,8308069,8786875;12301412;882800,Tom hat sein Studium vernachlässigt.
esel,8853418,13193867;13804676;2128696,Besser ein lebender Esel als ein toter Doktor.
diejenigen,11310054,3707513;8832677;3012999,"Sei unmoralisch, schwindele und stehle – diejenigen leben gut."
wechseln,10470875,2289321;12938904;2071975,"Die Dummheiten wechseln, die Dummheit bleibt."
hob,1793826,2211686;2794805;8120768,Die Studentin hob die Hand.
schauspieler,6204476,10967398;2811463;4466827,Sean Connery ist ein schottischer Schauspieler.
schriftsteller,13209743,9498315;1787809;1787839,Friedrich Dürrenmatt war ein Schweizer Schriftsteller und Dramatiker.
fremden,6013684,7841773;1944897;13627026,Dan will allen Fremden entgegenkommen.
schmutzig,14016125,6566623;7061774;2707684,"Oje, das Badezimmer ist so schmutzig!"
spaziergang,789803,11973718;2950234;2176898,Wie wär's mit einem Spaziergang?
talent,2467543,6608735;792943;3388584,"Talent ist Form, Genie Stoff."
erschöpft,2134444,2700815;13400812;7890639,Erschöpft sank sie auf das Kissen.
buchstaben,8572918,3086540;13629913;13629889,"Alpha, Beta und Gamma sind griechische Buchstaben."
gebacken,2794058,2794091;12840042;13903106,Ich habe hasenförmige Kekse gebacken.
kuss,1786069,926090;10362626;10807618,Ein Kuss auf Befehl schmeckt schal.
nochmal,6643278,12823346;5719677;5759070,"Mach das nicht nochmal, okay?"
riecht,482260,901164;966125;1807823,Sein Atem riecht nach Ziegenkäse.
innerhalb,12954674,401436;404635;9970024,Die Diebe schalteten die Überwachungskameras innerhalb des Museums aus.
rund,12822787,1728632;13809510;3054104,"Ein Wimpernschlag dauert rund 0,15 Sekunden."
schützen,3314515,6148892;3496658;3710731,"Vor direkter Sonneneinstrahlung schützen, und bei Zimmertemperatur lagern."
bestanden,831270,990052;905436;12663149,Hat er die Klausur bestanden?
riet,9012199,3385584;11537679;8702322,"Sie riet ihm, sich auszuruhen."
bären,1732216,1748725;3582762;452536,Sie fingen einen lebenden Bären.
professor,9173120,11360586;467093;1220031,Didier Raoult ist Professor für Mikrobiologie.
aufhalten,1693256,1693279;13678924;2691431,Sie kann sie nicht aufhalten.
allgemeinen,2125183,8224427;8406130;3760574,Im Allgemeinen bevorzuge ich fleischlose Speisen.
opa,13890193,6705837;10599238;11352322,Opa will das Schwein schlachten.
erscheint,2914804,9851878;1590570;655088,Zuweilen erscheint die Welt sinnlos.
erneut,12776505,371875;5956571;835193,Wir prüften das Dokument erneut.
socken,4543554,6083798;9540636;750359,Maria hat bunte Socken gestrickt.
vierzig,7840393,13631852;2351887;13629913,Mehr als vierzig Fahrzeuge kollidierten.
aufgegeben,605583,12706649;398028;12441160,Wieso hat er seine Stellung aufgegeben?
nämlich,7889841,8639863;8638722;11702660,Sprich bitte leiser. Ich habe nämlich schreckliche Kopfschmerzen.
hinterlassen,8132100,11252824;3061996;3847453,Die Einbrecher haben keine Spuren hinterlassen.
bevölkerung,11772646,11104576;7326123;9295998,Die indigene Bevölkerung wurde unterdrückt.
beeilen,8834664,1552121;12447887;12447888,Wir müssen uns wirklich beeilen.
entschlossen,664919,12337439;1732460;5283617,"Sie hat sich entschlossen, zurückzutreten."
wohnzimmer,1931104,3474429;8643595;10322194,Toms Wohnzimmer war geschmackvoll eingerichtet.
vernunft,10511303,1831911;2826760;4932693,Ein Mangel von Risikobereitschaft ist ein Überschuss von Vernunft.
kauf,12621550,6808994;714673;833376,Kauf möglichst viele Lebensmittel ein!
angenehm,12946063,7006619;793918;1439981,Morgendlicher Vogelgesang ist sehr angenehm.
woran,8805412,947284;3367603;8748277,Woran hapert es denn noch?
praktisch,2773276,3533550;10473786;2463226,Wo wird die Katastrophentheorie praktisch angewendet?
existiert,9595859,10521142;13661048;14011259,Das Universum existiert schon ewig.
gepäck,2829753,8547541;12632603;13430938,Liisa und Markku reisten ohne Gepäck.
überleben,5950043,7006416;959070;2682028,Dieser Organismus kann im Weltraum überleben.
lippen,3813453,5760484;6558891;13357160,Seine Lippen berührten die ihrigen.
unterstützung,1697265,3319452;13711856;13711858,"Geht man mutig voran, stößt Unterstützung oft unverhofft hinzu."
union,1111045,2143161;5862541;11831678,Die Europäische Union hat die Todesstrafe abgeschafft.
zweck,8308119,9976316;2768001;779227,Welchen Zweck hat die Bildung?
verändern,6964383,2804343;7730497;3016667,Das kannst du beliebig verändern.
kriegen,1587729,4274049;2139758;2916065,Er wollte einen geblasen kriegen.
erfunden,12263184,343454;695610;10364814,Was hat Nikola Tesla erfunden?
heutigen,13076460,416330;5526254;1225960,Die heutigen Politiker sind Mistkerle.
fassen,917179,10485445;2289390;8975664,Ihr kriegt mich niemals lebendig zu fassen!
zurückkommen,8916082,7017402;12345911;3002604,Und jetzt abhauen und nie wieder zurückkommen!
nerven,4982854,955603;2215472;10769243,Mir sind die Nerven durchgegangen.
gemeint,7814937,8496617;12778116;4904243,Die Antwort ist ironisch gemeint.
diskussion,3420702,2442345;3386335;2550768,Hunderte Anwesende verfolgten die Diskussion mit gespannter Aufmerksamkeit.
anziehen,8227597,8227598;8615114;12421270,Geht euch euren Pyjama anziehen!
vorstellung,8186130,12520167;10967398;1514467,Eine gute Vorbereitung hilft eine verpatzte Vorstellung verhindern.
band,2418439,2418447;2418449;6535938,Nehmt die Sendung auf Band auf!
bestellt,982750,10086434;5401944;13866449,Ich habe neue Möbel bestellt.
mars,6150630,10465265;3654063;6100912,Auf dem Mars herrschen äußerst kalte Temperaturen.
erinnerung,13475029,4110593;608252;3454385,Ich zitiere aus der Erinnerung.
eilig,754160,7635356;8964825;9453614,Sie putzte eilig ihr Zimmer.
schneit,6672320,7580719;8563083;9706431,Es schneit den ganzen Vormittag.
müll,13718921,13850234;13850238;439765,Wilhelm sammelte am Strand Müll.
umsonst,2134264,810148;4925706;3174874,Niemand will das Heilige Grab umsonst hüten.
irgend,13319940,13319942;4225636;5258748,Irgend etwas müssen wir übersehen.
schwanger,1855082,2166180;9739607;2935803,Ich bin ungewollt schwanger geworden.
golf,368217,9779404;2950234;8113422,Wir spielten trotz des Regens Golf.
meistens,8980429,12869242;1368849;3542064,Meistens überkommt mich nachmittags die Müdigkeit.
nass,5399012,683301;1963472;10950862,Der Bademantel ist noch nass.
gründe,4296027,727439;948861;1722112,Die Gründe hierfür sind bekannt.
nützlich,2037435,2226726;408457;12905717,Das „Bolashak“-Programm ist sehr nützlich.
dringend,1617634,2966816;8581180;1695929,Wir benötigen dringend neue Mitarbeiter.
ehefrau,839993,1106795;353100;989642,Kristy Anderson ist die Ehefrau von Larry Ewing.
gelungen,2435908,13730652;13884390;13884395,"Es ist unwahrscheinlich, dass es ihm gelungen ist."
mitglied,5206425,703377;13712877;2056228,Ist Armenien Mitglied der EU?
neugierig,9525803,2694824;2327431;8818771,Die Nachbaren sind zu neugierig.
bestand,2123292,12188649;12391746;13652774,"Die Tagesmahlzeit bestand aus Kartoffelpürree, Sauerkraut und Rindfleisch."
getrennt,8803639,3481505;6333451;1892145,Tom und Maria zahlten getrennt.
verbindung,13044680,13773668;13773669;12887878,Die Cyberkriminellen standen in Verbindung mit Telekommunikationsanbietern.
kritik,3786900,8916153;10680058;1432528,Er war harscher Kritik ausgesetzt.
fuchs,3577557,776065;927409;1944982,Die Hühner tötete ein Fuchs.
bösen,11971832,4948436;827534;1785109,Pflegen Sie keinen Umgang mit bösen Männern.
risiko,4282121,10337308;13047918;1660179,Raucherinnen haben ein erhöhtes Risiko für Fehlgeburten.
hügel,2343956,2343959;6641217;10322137,Die Briten erkletterten den Hügel.
armut,1324853,622530;4861708;2353541,Lieber wirkliche Armut als geraubter Reichtum.
zunächst,8339281,8598006;400553;8295006,Wir verhören zunächst das Personal.
wäsche,6615893,705442;8441384;9850395,Es roch unangenehm nach schmutziger Wäsche.
geruch,595688,12422732;12592236;1444733,Die Rose verbreitet einen süßen Geruch.
ausmachen,13506593,4825933;6028482;5570371,Würde es Ihnen etwas ausmachen abzuwaschen?
bauch,3104596,5374586;6060973;4873832,Auf vollem Bauch steht ein fröhliches Haupt.
beenden,8868603,787405;7523583;11069532,Beenden wir dieses unangenehme Gespräch!
öfter,13920404,615510;591770;804485,Lokomotiven kommen öfter als Busse.
realität,435881,13668680;11048370;13958735,Manchmal verwechselt sie Fantasie und Realität.
schrie,2334817,4177323;4508660;394472,Er schrie wie eine heisere Krähe.
schlafzimmer,987827,5920558;13684891;13357992,Blumen im Schlafzimmer sind ungesund.
netz,12193192,2793888;6778860;4436586,Ali schoss ins eigene Netz.
kaninchen,12620687,12620688;12620689;966094,Womit fütterst du deine Kaninchen?
wiederholen,13919175,13919176;8190735;11354773,Lass uns Lektion fünf wiederholen!
baseball,793521,438350;12862774;2187677,Fußball ist beliebter als Baseball.
benehmen,1218869,2137782;3456130;4887197,Sein rüdes Benehmen ärgert mich.
besuchte,3002598,2282836;7007984;979094,Den Lesesaal des Britischen Museums besuchte der Revolutionär Lenin.
kehrte,3129234,1511876;6149599;2730357,Tom kehrte kurz vor Tagesanbruch heim.
zuviel,10571056,11244030;1912473;10996914,"Wer zuviel zweifelt, der verzweifelt."
verhindern,8186130,1179260;13813352;13813353,Eine gute Vorbereitung hilft eine verpatzte Vorstellung verhindern.
knopf,8108262,2349794;3023105;7840135,Zum Einschalten des Gerätes diesen Knopf drücken.
mitternacht,8435604,12947867;7932511;8314361,Warum verschwand Aschenputtels Schuh nach Mitternacht nicht?
gewicht,1773142,584150;12821809;1830361,Eine Waage misst das Gewicht.
dritten,6597306,2461498;2461500;13787200,Ich muss im dritten Gang anstarten.
gelb,3028681,5712952;8244968;1411645,Die Fensterrahmen strichen sie gelb.
mitnehmen,5942427,3072444;396250;8839335,"Verhindere, dass sie dich mitnehmen."
respekt,2701019,2701036;12525847;12704836,Behandle ältere Menschen mit Respekt!
verlangt,2506400,392760;396902;4828380,Dein Organismus verlangt nach Erholung.
kompliziert,7200919,894838;3386506;8833470,Das ist nicht übermäßig kompliziert.
bürger,13712202,13586134;2742839;10987673,Der Staat erstickt einheimische Kleinunternehmen und anständige Bürger.
bilden,2182670,748710;2180955;3760574,Einhundert Jahrzehnte bilden ein Jahrtausend.
programm,7458920,8855896;12582349;12582362,Dieses Programm hat eine intuitive Benutzeroberfläche.
bedeckt,3643148,2209575;2328926;397760,Ein dicker und weicher Badeteppich bedeckt den gefliesten Fußboden.
komisch,1826881,2799049;3349641;9053146,Ist meine neue Frisur komisch?
ergibt,12549759,2299719;1786299;2492287,Elf mal elf ergibt hunderteinundzwanzig.
irren,12710869,14002171;2414395;576391,"Irren ist menschlich, aber im Irrtum verharren ist teuflisch."
zeug,2132805,2858704;7885789;5174826,Er redete nur dummes Zeug.
intelligent,900478,2188196;352588;728734,"Susan, Juans Schwester, ist sehr intelligent."
fieber,2186792,5847479;11643443;2410923,Ruhe und Mäßigkeit kurieren das Fieber.
grab,2134264,2225756;3600529;5262046,Niemand will das Heilige Grab umsonst hüten.
afrika,1104299,12099234;1882232;796936,Die polnischen Archäologen forschen in Afrika.
ofen,6838245,6838246;6838248;8126733,Den Ofen auf 180 °C vorheizen.
nebel,2754624,6149742;12144266;12777112,Der Wetterdienst warnt vor dichtem Nebel.
mai,5218471,898612;1358252;991500,Die Reue ist der Mai der Tugenden.
akzent,13685035,365347;1440618;10095865,Er hat den örtlichen Akzent angenommen.
video,2193253,923515;13390578;13607355,Das Video ist der reinste Schrott!
gemein,1738476,2163009;6204465;2903317,Beide haben nicht das Geringste gemein.
unhöflich,8492807,11721076;11769688;937036,"Meine Herren, Sie sind unhöflich."
fünfzehn,10072374,4451736;5319663;1566678,Das Gremium besteht aus fünfzehn Mitgliedern.
verfügung,6473624,9932344;5338616;4890879,Es stehen Behindertenparkplätze zur Verfügung.
ukraine,13165540,13858739;3062420;10753743,Die Krim ist die Ukraine!
amerikanischen,10738441,989651;989687;989639,Sie betreten den amerikanischen Sektor.
führerschein,993257,10709327;11965334;9999297,Ich habe einen vorläufigen Führerschein.
schafe,8596719,11539534;5233178;1759732,Schafe grasten auf der Wiese.
lügner,6916569,798383;8759216;8761338,Sind zwanghafte Lügner die besten Verkäufer?
gegenseitig,1842089,1080103;13397297;2071978,"Das Ehepaar lernte allmählich, sich gegenseitig zu tolerieren."
geträumt,370104,12204523;9056888;10563949,Ich habe etwas Seltsames geträumt.
zahnarzt,614083,2866023;3219533;3371148,Du solltest einen Zahnarzt konsultieren.
hingegen,12432627,13873176;7026399;9447207,"Seine Handschrift neigt sich vorwärts, die ihre hingegen rückwärts."
freien,368307,2103094;2719953;6079448,Er ergab sich aus freien Stücken.
besprechen,871895,12926119;13733428;2283468,Sie besprechen das über das Telefon.
blatt,1599625,1411351;761899;7121760,Zeichnet einen Strich auf euer Blatt.
werk,1855545,369500;9851878;2389753,Das Werk lobt den Meister.
hof,6150665,9071757;3883076;1811372,Jage die Ente dort vom Hof!
stärke,2750159,13406981;6103659;13742136,"Wesentliches — Unwesentliches. Alle Stärke liegt innen, nicht außen."
bar,946866,12482163;1792502;945579,"Bekomme ich Rabatt, wenn ich bar bezahle?"
rasch,1714028,3162508;4892455;2628320,Ihr Buch erreichte rasch hohe Verkaufszahlen.
drauf,10082177,10576681;3160958;8809055,"Sie ist scharf drauf, dich kennenzulernen."
team,13776143,12001311;7778219;6396241,Ein Team feiert den Sieg.
hergestellt,3625084,7024665;777850;12869242,Spundwände werden aus Baustahl hergestellt.
behandeln,5671927,2701021;2701034;942782,Tom würde euch respektvoll behandeln.
löwen,10020722,1204632;7840472;7277915,Löwen können extrem aggressiv sein.
wut,11945414,581168;2971749;3000484,Ziri kann Rimas Wut nachvollziehen.
bewegung,840000,9710518;783385;11184449,Setz deinen Arsch in Bewegung!
mode,2696378,9992048;1913595;885572,Mode ist die Uniform der Zivilisten.
erfreut,1940957,2828334;4177838;7448746,Tom erfreut sich bester Gesundheit.
verständlich,1835922,12415747;10161461;13539335,Einige Dialekte sind nicht gegenseitig verständlich.
sänger,2023370,2249896;11795507;1530211,Frank Sinatra war ein amerikanischer Sänger.
akzeptieren,664860,10153131;7309965;8875634,Ich kann das keineswegs akzeptieren.
umgehen,6105021,13713000;2023496;2933109,Kannst du mit Toki Pona umgehen?
facebook,8796109,9448266;2629783;10450032,"Deutschland wird Arbeitgebern verbieten, auf Facebook herumzuschnüffeln."
erlebt,11951014,4974930;5062267;1703375,Allerdings erlebt auch Serbien eine Welle von Preiserhöhungen.
tugend,7724108,797729;2779834;2826760,Nächstenliebe ist die höchste Tugend.
ring,3071156,6943315;13664535;3383572,Sie hat einen unglaublich wertvollen Ring.
griff,14009884,13353963;818314;818315,Im August 1990 griff der Irak Kuwait an.
schwert,8363994,11171961;13294914;5299616,Das ist das Schwert des Orion.
